wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(37.6-75.2]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(12.9-25.8]\\''""","b""\\(-inf-9.5]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.9-1.2]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",0
"b""\\(25.8-38.7]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(37.6-75.2]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(19-28.5]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.3-0.4]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(2.28334-3.42501]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(18.6-37.2]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(12.9-25.8]\\''""","b""\\(-inf-9.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.3-0.4]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(2.28334-3.42501]\\''""",1
"b""\\(12.9-25.8]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.8-0.9]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",0
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(-inf-0.2]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.5-0.6]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(2.28334-3.42501]\\''""",0
"b""\\(12.9-25.8]\\''""","b""\\(2.6-3]\\''""","b""\\(-inf-13.2]\\''""","b""\\(18.6-37.2]\\''""","b""\\(112.8-150.4]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(25.8-38.7]\\''""","b""\\(9.5-19]\\''""","b""\\(1-1.2]\\''""","b""\\(985.7-1971.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.1-0.2]\\''""","b""\\(1.8-2.1]\\''""","b""\\(6-8]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(2.28334-3.42501]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.9-inf)\\''""","b""\\(0.6-0.7]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(2.6-3]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(1-1.2]\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.9-inf)\\''""","b""\\(0.2-0.3]\\''""","b""\\(0.9-1.2]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(0.4-0.6]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.8-0.9]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.9-1.2]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(4.56668-5.70835]\\''""",0
"b""\\(12.9-25.8]\\''""","b""\\(2.6-3]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(1-1.2]\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.6-0.7]\\''""","b""\\(0.5-0.6]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(12.9-25.8]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(37.6-75.2]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.8-0.9]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.1-0.2]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",1
"b""\\(12.9-25.8]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.7-0.8]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(1-1.2]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.1-0.2]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",0
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(1-1.2]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.1-0.2]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.6-0.7]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(12.3-24.6]\\''""","b""\\(1.14167-2.28334]\\''""",1
"b""\\(51.6-64.5]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(75.2-112.8]\\''""","b""\\(1327.2-1990.8]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(47.5-57]\\''""","b""\\(0.8-1]\\''""","b""\\(985.7-1971.4]\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.1-0.2]\\''""","b""\\(0.2-0.3]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.3-0.4]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",0
"b""\\(12.9-25.8]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(19-28.5]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.8-0.9]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(2.6-3]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(1.2-1.4]\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.9-inf)\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.9-1.2]\\''""","b""\\(2-4]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.5-0.6]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",0
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(37.6-75.2]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(12.9-25.8]\\''""","b""\\(-inf-9.5]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.1-0.2]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(61.45625-122.9125]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.7-0.8]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",0
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.3-0.4]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.2-0.4]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",0
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.9-1.2]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(12.9-25.8]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.9-inf)\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.2-0.3]\\''""","b""\\(0.9-1.2]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",0
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.8-0.9]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",0
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",1
"b""\\(12.9-25.8]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.6-0.7]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(12.9-25.8]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(37.6-75.2]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(19-28.5]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.8-0.9]\\''""","b""\\(3.4-6.8]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.3-0.4]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(18.6-37.2]\\''""","b""\\(37.6-75.2]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(12.9-25.8]\\''""","b""\\(-inf-9.5]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.9-inf)\\''""","b""\\(3.4-6.8]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.6-0.7]\\''""","b""\\(0.9-1.2]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",0
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(1.8-inf)\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(0.6-0.8]\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.6-0.7]\\''""","b""\\(0.3-0.4]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",0
"b""\\(90.3-103.2]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(18.6-37.2]\\''""","b""\\(225.6-263.2]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(25.8-38.7]\\''""","b""\\(76-85.5]\\''""","b""\\(0.8-1]\\''""","b""\\(985.7-1971.4]\\''""","b""\\(0.4-0.5]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.1-0.2]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(12.3-24.6]\\''""","b""\\(1.14167-2.28334]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(1.8-2.2]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(9.5-19]\\''""","b""\\(0.8-1]\\''""","b""\\(-inf-985.7]\\''""","b""\\(0.2-0.3]\\''""","b""\\(-inf-3.4]\\''""","b""\\(0.5-0.6]\\''""","b""\\(0.4-0.5]\\''""","b""\\(0.9-1.2]\\''""","b""\\(4-6]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(-inf-1.14167]\\''""",1
"b""\\(-inf-12.9]\\''""","b""\\(-inf-1.4]\\''""","b""\\(-inf-13.2]\\''""","b""\\(-inf-18.6]\\''""","b""\\(-inf-37.6]\\''""","b""\\(-inf-663.6]\\''""","b""\\(-inf-18.4]\\''""","b""\\(-inf-12.9]\\''""","b""\\(-inf-9.5]\\''""","b""\\(0.2-0.4]\\''""","b""\\(-inf-985.7]\\''""","b""\\(-inf-0.1]\\''""","b""\\(-inf-3.4]\\''""","b""\\(-inf-0.1]\\''""","b""\\(0.3-0.4]\\''""","b""\\(-inf-0.3]\\''""","b""\\(-inf-2]\\''""","b""\\(-inf-61.45625]\\''""","b""\\(-inf-12.3]\\''""","b""\\(1.14167-2.28334]\\''""",1
